id,titre,etat,categorie,severite,priorite,cvss4,confiance,route_ou_fichier,role,impact_securite,cause_racine,correction,effort,referentiel
MS-001,Controle d'acces du middleware entierement inoperant,VERIFIE,securite,critique,P0,9.3,elevee,src/proxy.ts:8-13,anonyme,Suppression de la barriere perimetrique sur toutes les routes,Liste blanche par prefixe incluant la racine '/',Comparaison exacte + prefixes explicites + controle profileType par segment,XS,OWASP ASVS V4.1 / CWE-284
MS-002,~80 server actions sans verification de session,VERIFIE,securite,critique,P0,9.8,elevee,src/app/actions/*.ts (17 fichiers),anonyme,Lecture ecriture suppression de toute donnee sans compte,Actions concues comme passe-plats vers les services,Helper requireSession() impose a chaque action + regle ESLint,L,OWASP API1/API5:2023 / CWE-306
MS-003,Dump complet base utilisateurs avec hachages,VERIFIE,securite,critique,P0,8.7,elevee,src/app/actions/user.actions.ts:30 / user.service.ts:64,anonyme,Fuite massive de donnees personnelles + hachages bcrypt,SELECT * sans projection ni auth,Supprimer les actions + projection safeUserColumns,S,OWASP API3:2023 / CWE-522 / RGPD 32-33
MS-004,Prise de controle de n'importe quel compte (mass assignment),VERIFIE,securite,critique,P0,9.4,elevee,src/app/actions/user.actions.ts:23 / session.ts:20,anonyme,Detournement de compte changement d'organisation upgrade gratuit,userId parametre + set(...data) sans liste blanche,Schema zod .strict() + identite depuis la session + flux dedies,M,OWASP API6:2023 / CWE-915
MS-005,Isolation multitenant inexistante,VERIFIE,securite,critique,P0,9.3,elevee,toutes actions et services,tout role,Acces croise complet entre organisations clientes,organizationId fourni par le client jamais derive de la session,Supprimer organizationId des signatures + RLS PostgreSQL + FK,L,OWASP API1:2023 / AWS SaaS Lens
MS-006,Identite derivee d'un cookie non signe,VERIFIE,securite,critique,P0,9.1,elevee,12 fichiers actions (cookies().get('session')),anonyme,Usurpation triviale de n'importe quel utilisateur,Vestige de l'auth maison anterieure a NextAuth,Supprimer les 12 replis cookie + regle ESLint,S,ASVS V3.2 / CWE-565
MS-007,Fraude au paiement et signature electronique sans valeur,VERIFIE,logique metier,critique,P0,8.8,elevee,invoice.actions.ts:28-34 / invoice.service.ts:59-79,anonyme,Facture marquee payee sans paiement; signature apposee par un tiers,Actions publiques sans auth ni verification Stripe,Statut paid pilote uniquement par le webhook + jeton de signature + preuve,M,OWASP API5:2023 / eIDAS 25-26
MS-008,Authentification scindee NextAuth / Supabase,VERIFIE,architecture,critique,P0,,elevee,(dashboard)/layout.tsx / client/layout.tsx / api/*/sign,tout role,Application authentifiee inaccessible (boucle de redirection),Migration NextAuth incomplete: layouts restes sur Supabase,Choisir un seul systeme; remplacer supabase.auth.getUser() par requireSession(),M,ISO 25010 / ASVS V3
MS-009,Variable Supabase incoherente entre environnements,VERIFIE,configuration,critique,P0,,elevee,src/utils/supabase/server.ts:10 / .env.production,tout role,Erreur 500 sur toute page authentifiee en production,ANON_KEY attendu vs PUBLISHABLE_KEY fourni,Normaliser la variable + validation zod des env au demarrage,S,12-Factor III
MS-010,Client Stripe instancie au chargement du module,VERIFIE,build,critique,P0,,elevee,api/stripe/create-payment/route.ts:5 / webhook/route.ts:6,-,Build Netlify en echec; deploiement impossible,new Stripe('') leve une exception a l'import,Initialisation paresseuse getStripe() dans les handlers,S,12-Factor / ISO 25010
