action,visiteur_anonyme,client,professional,manager,admin_organisation,support,admin_global,commentaire
Lire clients,ACCESSIBLE (defaut),ACCESSIBLE (defaut),autorise,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,MS-002 MS-005: aucune verification serveur
Creer client,ACCESSIBLE,ACCESSIBLE,autorise,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,Controle org contournable via userId (MS-006)
Modifier client,ACCESSIBLE,ACCESSIBLE,autorise,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,idem
Supprimer client (cascade),ACCESSIBLE,ACCESSIBLE,autorise,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,Irreversible sans transaction (MS-020)
Lire factures,ACCESSIBLE,ACCESSIBLE,autorise,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,getById sans filtre org
Marquer facture payee,ACCESSIBLE,ACCESSIBLE,ACCESSIBLE,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,MS-007 fraude directe
Signer un devis,ACCESSIBLE,ACCESSIBLE,ACCESSIBLE,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,MS-007 aucune valeur probante
Exporter/PDF,ACCESSIBLE,ACCESSIBLE,ACCESSIBLE,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,Aucun controle
Lister tous les utilisateurs,ACCESSIBLE,ACCESSIBLE,ACCESSIBLE,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,MS-003 hachages inclus
Modifier un utilisateur quelconque,ACCESSIBLE,ACCESSIBLE,ACCESSIBLE,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,MS-004 prise de controle
Changer de plan / abonnement,ACCESSIBLE,ACCESSIBLE,ACCESSIBLE,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,ROLE INEXISTANT,MS-004 upgrade gratuit
Inviter un utilisateur,FONCTION INEXISTANTE,FONCTION INEXISTANTE,FONCTION INEXISTANTE,-,-,-,-,Aucun systeme d'invitation
Gerer les roles,FONCTION INEXISTANTE,FONCTION INEXISTANTE,FONCTION INEXISTANTE,-,-,-,-,Aucun modele de roles
Administration globale,FONCTION INEXISTANTE,FONCTION INEXISTANTE,FONCTION INEXISTANTE,-,-,-,-,Aucune interface d'administration
Impersonation support,FONCTION INEXISTANTE,FONCTION INEXISTANTE,FONCTION INEXISTANTE,-,-,-,-,Aucun outil support
Onboarding Stripe Connect,ACCESSIBLE,ACCESSIBLE,ACCESSIBLE,-,-,-,-,MS-012
Declencher les relances,ACCESSIBLE,ACCESSIBLE,ACCESSIBLE,-,-,-,-,MS-013
